step,t,learning_rate,L_task_variance,sum_squared_task_residual_errors,epoch,L_task_batch_t,L_reg_batch_t,L_full_batch_t,weights_norm_sq_t,grad_L_task_norm_sq_t,q_value_L_task,q_second_derivative_L_task,lambda_measured_task_t,batch_size,L_task_test_t,est_avg_squared_task_residual_error,obs_avg_squared_task_residual_error
12,0.012000000000000004,0.001,0.005258910823613405,5387.3017578125,12,2.2917237281799316,0.002317974853515625,2.2940417030334475,46.3594970703125,0.21422603726387024,1.21205323671694,-0.24195854591993976,1060.478355773246,6000,,1.211417017508938,0.8978836263020833
13,0.013000000000000005,0.001,0.005248147528618574,5387.04345703125,13,2.2915093898773193,0.0023179759979248048,2.293827365875244,46.359519958496094,0.21413570642471313,1.2119947988170778,-0.24199726552081774,1060.0823038203412,6000,,1.21135978014159,0.897840576171875
14,0.014000000000000005,0.001,0.005237480625510216,5386.7861328125,14,2.291295289993286,0.0023179769515991214,2.2936132669448854,46.35953903198242,0.21408586204051971,1.2119364148214105,-0.24203594471060955,1059.886605051308,6000,,1.211302585535861,0.8977976888020833
15,0.015000000000000006,0.001,0.0052269017323851585,5386.52880859375,15,2.291081190109253,0.002317978668212891,2.2933991687774657,46.35957336425781,0.2140868455171585,1.211878019731116,-0.242074626555629,1059.942545527769,6000,,1.2112453695886611,0.8977548014322917
16,0.016000000000000007,0.001,0.005216397810727358,5386.27099609375,16,2.2908670902252197,0.002317979621887207,2.293185069847107,46.35959243774414,0.21405461430549622,1.2118196135444206,-0.24211331105403466,1059.8340474754982,6000,,1.2111881338715556,0.8977118326822917
17,0.017000000000000008,0.001,0.00520599028095603,5386.013671875,17,2.2906532287597656,0.0023179811477661134,2.292971209907532,46.359622955322266,0.21389396488666534,1.2117612613183795,-0.2421519551210509,1059.089632823969,6000,,1.211130940955942,0.8976689453125
18,0.01800000000000001,0.001,0.005195676349103451,5385.755859375,18,2.2904393672943115,0.002317982864379883,2.2927573501586913,46.359657287597656,0.21389269828796387,1.2117028980171012,-0.24219060183187033,1059.1343734738437,6000,,1.2110737260261446,0.8976259765625
19,0.01900000000000001,0.001,0.0051854439079761505,5385.49853515625,19,2.2902255058288574,0.002317984390258789,2.292543490219116,46.35968780517578,0.2138451337814331,1.2116445236388174,-0.24222925118465344,1058.9498633107946,6000,,1.2110164905413727,0.8975830891927083
20,0.02000000000000001,0.001,0.005175301805138588,5385.240234375,20,2.2900116443634033,0.002317985534667969,2.292329629898071,46.359710693359375,0.21378657221794128,1.2115861381817608,-0.24226790317755917,1058.7108855773452,6000,,1.2109592334234398,0.8975400390625
21,0.02100000000000001,0.001,0.005165248643606901,5384.9833984375,21,2.289797782897949,0.0023179870605468753,2.292115769958496,46.3597412109375,0.21380271017551422,1.2115277416441632,-0.24230655780874533,1058.8418382497593,6000,,1.2109019548346338,0.8974972330729166
22,0.022000000000000013,0.001,0.005155285354703665,5384.7255859375,22,2.289583921432495,0.002317988586425781,2.291901910018921,46.359771728515625,0.2136797308921814,1.2114693340242568,-0.24234521507636797,1058.2838123473439,6000,,1.210844654655224,0.8974542643229166
23,0.023000000000000013,0.001,0.0051454054191708565,5384.4677734375,23,2.289370536804199,0.0023179901123046875,2.291688526916504,46.35980224609375,0.21368463337421417,1.211411045586125,-0.24238378877743164,1058.359014404524,6000,,1.2107874641559777,0.8974112955729167
24,0.024000000000000014,0.001,0.005135607440024614,5384.2099609375,24,2.289156675338745,0.0023179920196533203,2.2914746673583983,46.359840393066406,0.21362759172916412,1.2113526158210164,-0.24242245130652235,1058.1275292052303,6000,,1.210730122548737,0.8973683268229167
25,0.025000000000000015,0.001,0.005125895608216524,5383.95263671875,25,2.28894305229187,0.00231799373626709,2.2912610460281373,46.3598747253418,0.21350176632404327,1.2112942401259252,-0.24246107336007755,1057.5552623870205,6000,,1.2106728250503753,0.897325439453125
26,0.026000000000000016,0.001,0.0051162815652787685,5383.69482421875,26,2.288729429244995,0.002317995071411133,2.2910474243164063,46.359901428222656,0.21346120536327362,1.2112358533661696,-0.2424996980368275,1057.4053175690235,6000,,1.2106155049988438,0.897282470703125
27,0.027000000000000017,0.001,0.005106751807034016,5383.4375,27,2.288516044616699,0.002317997169494629,2.290834041786194,46.35994338989258,0.21340757608413696,1.211177520722302,-0.24253828222264318,1057.1905724779394,6000,,1.2105582293167942,0.8972395833333333
28,0.028000000000000018,0.001,0.005097319837659597,5383.1796875,28,2.2883026599884033,0.002317998695373535,2.290620658683777,46.3599739074707,0.2134549617767334,1.2111191770349385,-0.24257686902212094,1057.476254150217,6000,,1.2105009310916266,0.8971966145833333
29,0.02900000000000002,0.001,0.005087968893349171,5382.921875,29,2.2880892753601074,0.002318000793457031,2.2904072761535645,46.360015869140625,0.21340088546276093,1.211060822302323,-0.24261545843341945,1057.259296310497,6000,,1.2104436123495455,0.8971536458333333
30,0.03000000000000002,0.001,0.00507871201261878,5382.6640625,30,2.2878758907318115,0.0023180027008056644,2.290193893432617,46.36005401611328,0.21330474317073822,1.2110024565226976,-0.24265405045469582,1056.8339082476848,6000,,1.2103862715022202,0.8971106770833334
31,0.03100000000000002,0.001,0.005069545935839415,5382.40625,31,2.2876627445220947,0.0023180047988891604,2.289980749320984,46.3600959777832,0.21323080360889435,1.2109441449259783,-0.2426926019601601,1056.5184422536445,6000,,1.2103289742790155,0.8970677083333334
32,0.03200000000000002,0.001,0.005060472059994936,5382.1484375,32,2.287449598312378,0.00231800651550293,2.289767604827881,46.360130310058594,0.2131718546152115,1.210885822303417,-0.24273115606609366,1056.277234511031,6000,,1.2102716551867356,0.8970247395833333
33,0.03300000000000002,0.001,0.005051483865827322,5381.890625,33,2.287236213684082,0.002318008613586426,2.2895542222976686,46.360172271728516,0.213129460811615,1.210827423396919,-0.24276975590041472,1056.1181058173777,6000,,1.2102142496443982,0.8969817708333333
34,0.03400000000000002,0.001,0.0050425780937075615,5381.6328125,34,2.2870230674743652,0.002318010711669922,2.2893410781860353,46.36021423339844,0.2130514681339264,1.210769078705081,-0.24280831520466642,1055.7825032752828,6000,,1.2101568887594705,0.8969388020833333
35,0.035000000000000024,0.001,0.005033763591200113,5381.37548828125,35,2.2868101596832275,0.0023180130004882816,2.2891281726837156,46.360260009765625,0.21300044655799866,1.2107107882631647,-0.2428468339682939,1055.5804835780486,6000,,1.2100995714876308,0.8968959147135417
36,0.036000000000000025,0.001,0.00502503477036953,5381.1181640625,36,2.28659725189209,0.0023180149078369143,2.288915266799927,46.36029815673828,0.21295379102230072,1.210652486813068,-0.24288535531922079,1055.400092141464,6000,,1.2100422331352216,0.89685302734375
37,0.037000000000000026,0.001,0.005016389302909374,5380.8603515625,37,2.286384105682373,0.0023180170059204103,2.2887021226882935,46.3603401184082,0.21289826929569244,1.2105941090473642,-0.24292392239696162,1055.1758068435943,6000,,1.2099848085644977,0.89681005859375
38,0.03800000000000003,0.001,0.005007829051464796,5380.6025390625,38,2.2861711978912354,0.002318019485473633,2.288489217376709,46.360389709472656,0.212861105799675,1.210535785563335,-0.24296244891985697,1055.0424448656076,6000,,1.209927428358277,0.89676708984375
39,0.03900000000000003,0.001,0.004999359603971243,5380.3447265625,39,2.2859585285186768,0.0023180217742919925,2.2882765502929687,46.360435485839844,0.2127671241760254,1.2104775163962294,-0.24300093487738716,1054.6273910619898,6000,,1.2098700918674528,0.89672412109375
40,0.04000000000000003,0.001,0.004990967456251383,5380.0869140625,40,2.285745620727539,0.0023180236816406252,2.2880636444091795,46.3604736328125,0.21274785697460175,1.2104191708959464,-0.243039466559094,1054.5827202181215,6000,,1.2098126698618559,0.89668115234375
41,0.04100000000000003,0.001,0.004982653073966503,5379.8291015625,41,2.2855329513549805,0.002318026351928711,2.2878509777069094,46.36052703857422,0.2126927673816681,1.2103608797337562,-0.2430779576659765,1054.3604189939826,6000,,1.2097552931672673,0.89663818359375
42,0.04200000000000003,0.001,0.004974422976374626,5379.5712890625,42,2.285320281982422,0.002318029022216797,2.2876383110046388,46.36058044433594,0.21264243125915527,1.2103025775775724,-0.24311645134333054,1054.161670967075,6000,,1.209697895546824,0.89659521484375
43,0.04300000000000003,0.001,0.0049662780947983265,5379.3134765625,43,2.2851076126098633,0.002318031120300293,2.2874256437301637,46.36062240600586,0.21256320178508759,1.210244264425654,-0.2431549475893136,1053.819669466298,6000,,1.2096404768807265,0.89655224609375
44,0.04400000000000003,0.001,0.004958219826221466,5379.0556640625,44,2.284895181655884,0.0023180335998535155,2.287213215255737,46.36067199707031,0.21254311501979828,1.210186005668236,-0.2431934032405411,1053.7708122104932,6000,,1.2095831024914594,0.89650927734375
45,0.04500000000000003,0.001,0.004950240720063448,5378.79833984375,45,2.284682512283325,0.0023180360794067384,2.287000548362732,46.360721588134766,0.21244856715202332,1.210127670531957,-0.24323190461537425,1053.352827104434,6000,,1.2095256422926342,0.8964663899739583
46,0.046000000000000034,0.001,0.004942348692566156,5378.54052734375,46,2.2844700813293457,0.002318038940429688,2.2867881202697755,46.36077880859375,0.2124624103307724,1.2100693898113497,-0.24327036538601804,1053.4721997912634,6000,,1.2094682263251968,0.8964234212239583
47,0.047000000000000035,0.001,0.004934533033519983,5378.28271484375,47,2.284257650375366,0.0023180414199829103,2.286575691795349,46.3608283996582,0.21247990429401398,1.2100110981127021,-0.24330882871217085,1053.6096964338255,6000,,1.2094107903863884,0.8963804524739584
48,0.048000000000000036,0.001,0.004926793277263641,5378.0244140625,48,2.2840452194213867,0.0023180440902709964,2.2863632635116575,46.36088180541992,0.21234536170959473,1.209952795434279,-0.2433472945919894,1052.9932862383077,6000,,1.209353334526761,0.89633740234375
49,0.04900000000000004,0.001,0.0049191368743777275,5377.7666015625,49,2.2838330268859863,0.0023180469512939453,2.28615107383728,46.360939025878906,0.2123522162437439,1.2098945472279303,-0.24338571984775279,1053.0779731024236,6000,,1.2092959233933303,0.89629443359375
50,0.05000000000000004,0.001,0.004911569878458977,5377.5087890625,50,2.2836203575134277,0.0023180496215820315,2.28593840713501,46.360992431640625,0.2123466283082962,1.2098361571311622,-0.24342423400524268,1053.1010850849038,6000,,1.2092383595634486,0.89625146484375
51,0.05100000000000004,0.001,0.004904094617813826,5377.2509765625,51,2.2834081649780273,0.002318052291870117,2.2857262172698976,46.361045837402344,0.21228328347206116,1.2097778869812406,-0.24346266435338781,1052.8376444461476,6000,,1.2091809050102935,0.89620849609375
52,0.05200000000000004,0.001,0.004896706901490688,5376.9931640625,52,2.283195972442627,0.0023180551528930666,2.28551402759552,46.36110305786133,0.21223430335521698,1.2097196058692485,-0.2435010972421005,1052.645434489996,6000,,1.2091234291175557,0.89616552734375
53,0.05300000000000004,0.001,0.004889399744570255,5376.7353515625,53,2.2829837799072266,0.002318058204650879,2.2853018381118773,46.36116409301758,0.2122323364019394,1.209661313793456,-0.2435395326695365,1052.6864039474956,6000,,1.2090659327290423,0.89612255859375
54,0.05400000000000004,0.001,0.004882179666310549,5376.4765625,54,2.282771348953247,0.002318061065673828,2.2850894100189207,46.36122131347656,0.21218864619731903,1.2096029452369288,-0.24357801382400027,1052.520483847319,6000,,1.2090083494238029,0.8960794270833333
55,0.05500000000000004,0.001,0.004875044338405132,5376.21875,55,2.2825591564178467,0.002318064498901367,2.284877220916748,46.361289978027344,0.21228544414043427,1.2095446312160194,-0.2436164543261918,1053.0513979976702,6000,,1.2089508107078168,0.8960364583333333
56,0.05600000000000004,0.001,0.0048679811879992485,5375.96044921875,56,2.2823469638824463,0.0023180671691894533,2.284665031051636,46.36134338378906,0.21218228340148926,1.2094863062261156,-0.24365489736156343,1052.5904211195991,6000,,1.2088932524977556,0.895993408203125
57,0.057000000000000044,0.001,0.004861005116254091,5375.7021484375,57,2.282135009765625,0.002318070411682129,2.284453080177307,46.36140823364258,0.21206527948379517,1.2094280358176663,-0.24369329972957945,1052.0606759727843,6000,,1.2088357386292752,0.8959503580729167
58,0.058000000000000045,0.001,0.004854127764701843,5375.4443359375,58,2.2819228172302246,0.002318073081970215,2.2842408903121947,46.3614616394043,0.21203437447547913,1.2093696888969097,-0.24373174782291918,1051.9581055593344,6000,,1.2087781363747865,0.8959073893229167
59,0.059000000000000045,0.001,0.00484732910990715,5375.1865234375,59,2.2817108631134033,0.0023180761337280274,2.2840289392471314,46.36152267456055,0.21197804808616638,1.2093113965787952,-0.24377015523952447,1051.7293495415488,6000,,1.2087205794939857,0.8958644205729167
60,0.060000000000000046,0.001,0.00484060775488615,5374.927734375,60,2.281498908996582,0.00231807918548584,2.283816988182068,46.3615837097168,0.21192272007465363,1.209253093309416,-0.24380856517623342,1051.5055346834404,6000,,1.2086630024937661,0.8958212890625
61,0.06100000000000005,0.001,0.004833964630961418,5374.669921875,61,2.28128719329834,0.002318082618713379,2.2836052759170533,46.36165237426758,0.21179279685020447,1.2091948446885028,-0.24384693442117183,1050.9115108149363,6000,,1.2086054709603227,0.8957783203125
62,0.06200000000000005,0.001,0.004827411845326424,5374.412109375,62,2.2810752391815186,0.002318086051940918,2.2833933252334595,46.36172103881836,0.2117161899805069,1.2091365195237427,-0.24388534938970924,1050.582063622881,6000,,1.2085478520114699,0.8957353515625
63,0.06300000000000004,0.001,0.004820945672690868,5374.154296875,63,2.2808635234832764,0.0023180894851684572,2.283181612968445,46.36178970336914,0.21164678037166595,1.2090782490286336,-0.24392372365712173,1050.288253262525,6000,,1.208490277518618,0.8956923828125
64,0.06400000000000004,0.001,0.00481456657871604,5373.8955078125,64,2.2806520462036133,0.002318092346191406,2.2829701385498047,46.361846923828125,0.21151429414749146,1.20902003323839,-0.24396205721308914,1049.6813369466436,6000,,1.2084327474548235,0.8956492513020833
65,0.06500000000000004,0.001,0.004808289930224419,5373.6376953125,65,2.280440330505371,0.002318095970153809,2.282758426475525,46.36191940307617,0.2114483267068863,1.208961740886828,-0.24400043648993816,1049.4045570959727,6000,,1.2083751284659556,0.8956062825520833
66,0.06600000000000004,0.001,0.0048021054826676846,5373.3798828125,66,2.280228853225708,0.002318099403381348,2.2825469526290894,46.36198806762695,0.21149300038814545,1.2089035032613118,-0.24403877504601068,1049.6768343424842,6000,,1.2083175532914958,0.8955633138020833
67,0.06700000000000005,0.001,0.004796000197529793,5373.1220703125,67,2.280017375946045,0.0023181030273437503,2.2823354789733887,46.362060546875,0.2114972025156021,1.2088452547217376,-0.2440771160979591,1049.7482702082643,6000,,1.2082599577732285,0.8955203450520833
68,0.06800000000000005,0.001,0.004789972212165594,5372.86376953125,68,2.279805898666382,0.002318106842041016,2.2821240055084226,46.36213684082031,0.2114444375038147,1.20878699526639,-0.24411545964393697,1049.536957289404,6000,,1.208202342132263,0.895477294921875
69,0.06900000000000005,0.001,0.004784028511494398,5372.60546875,69,2.279594659805298,0.0023181098937988284,2.2819127696990966,46.36219787597656,0.2113828957080841,1.2087287905934714,-0.24415376244953457,1049.2820094289189,6000,,1.2081447713130977,0.8954342447916667
70,0.07000000000000005,0.001,0.004778159782290459,5372.34765625,70,2.2793831825256348,0.002318113708496094,2.281701296234131,46.362274169921875,0.21135424077510834,1.2086705093137449,-0.2441921109752196,1049.1903582314276,6000,,1.2080871148518377,0.8953912760416667
71,0.07100000000000005,0.001,0.004772375337779522,5372.08935546875,71,2.279171943664551,0.0023181169509887698,2.2814900606155395,46.36233901977539,0.21122337877750397,1.2086122828376293,-0.24423041875121837,1048.5912568168765,6000,,1.2080295032240373,0.8953482259114584
72,0.07200000000000005,0.001,0.004766675643622875,5371.8310546875,72,2.278960704803467,0.0023181209564208985,2.2812788257598875,46.36241912841797,0.2111492156982422,1.208554045463499,-0.24426872900824703,1048.273595165187,6000,,1.2079718705629678,0.89530517578125
73,0.07300000000000005,0.001,0.004761056508868933,5371.5732421875,73,2.278749704360962,0.002318124580383301,2.281067828941345,46.362491607666016,0.2110866755247116,1.2084958629387625,-0.24430699850069537,1048.0135613111713,6000,,1.2079142832260756,0.89526220703125
74,0.07400000000000005,0.001,0.004755521193146706,5371.3154296875,74,2.278538465499878,0.0023181285858154296,2.2808565940856935,46.362571716308594,0.21101929247379303,1.2084376037757796,-0.24434531371144533,1047.7295235490542,6000,,1.2078566091168792,0.89521923828125
75,0.07500000000000005,0.001,0.004750067833811045,5371.05712890625,75,2.278327465057373,0.0023181322097778323,2.2806455972671507,46.36264419555664,0.21094195544719696,1.208379399483371,-0.24438358814833358,1047.3959860821005,6000,,1.2077989801727835,0.8951761881510417
76,0.07600000000000005,0.001,0.004744694102555513,5370.798828125,76,2.278116464614868,0.0023181358337402347,2.2804346004486082,46.36271667480469,0.21084833145141602,1.208321184310715,-0.24442186505327773,1046.9815518712146,6000,,1.2077413308198879,0.8951331380208334
77,0.07700000000000005,0.001,0.004739413969218731,5370.541015625,77,2.2779057025909424,0.0023181400299072267,2.2802238426208494,46.36280059814453,0.21074700355529785,1.208263024054401,-0.24446010116951325,1046.5287740816066,6000,,1.2076837252452013,0.8950901692708333
78,0.07800000000000006,0.001,0.004734220448881388,5370.283203125,78,2.2776949405670166,0.002318143844604492,2.280013084411621,46.362876892089844,0.21074923872947693,1.2082048529390153,-0.24449833974454627,1046.590260998304,6000,,1.2076260984191471,0.8950472005208333
79,0.07900000000000006,0.001,0.004729116801172495,5370.025390625,79,2.27748441696167,0.0023181478500366214,2.2798025648117064,46.36295700073242,0.21063721179962158,1.2081467367857106,-0.24453653751606005,1046.0842481436873,6000,,1.2075685158616767,0.8950042317708333
80,0.08000000000000006,0.001,0.004724095109850168,5369.767578125,80,2.277273654937744,0.002318151664733887,2.279591806602478,46.363033294677734,0.21062518656253815,1.208088543959374,-0.24457478100038096,1046.0749137090788,6000,,1.2075108466959157,0.8949612630208333
81,0.08100000000000006,0.001,0.004719143733382225,5369.509765625,81,2.2770631313323975,0.002318155860900879,2.2793812871932984,46.36311721801758,0.2106267660856247,1.2080304061162888,-0.24461298367194728,1046.1331023749867,6000,,1.207453224201789,0.8949182942708334
82,0.08200000000000006,0.001,0.0047142705880105495,5369.25146484375,82,2.2768523693084717,0.002318160438537598,2.279170529747009,46.36320877075195,0.21056827902793884,1.207972191572214,-0.24465123205818098,1045.8930122582256,6000,,1.2073955155184077,0.894875244140625
83,0.08300000000000006,0.001,0.004709477070719004,5368.9931640625,83,2.276641845703125,0.00231816463470459,2.27896001033783,46.3632926940918,0.21049897372722626,1.2079140320325679,-0.2446894396224275,1045.5991145645576,6000,,1.2073378523798934,0.8948321940104167
84,0.08400000000000006,0.001,0.004704758990556002,5368.7353515625,84,2.2764315605163574,0.002318168640136719,2.278749729156494,46.363372802734375,0.21048395335674286,1.207855927532499,-0.24472760635454258,1045.5748002333473,6000,,1.2072802353293821,0.8947892252604167
85,0.08500000000000006,0.001,0.00470012566074729,5368.47705078125,85,2.2762210369110107,0.002318172836303711,2.2785392097473145,46.36345672607422,0.21044492721557617,1.2077977463140799,-0.24476581879856069,1045.4312960483933,6000,,1.2072225312611755,0.8947461751302084
86,0.08600000000000006,0.001,0.00469557149335742,5368.21875,86,2.276010274887085,0.0023181764602661133,2.278328451347351,46.363529205322266,0.21036294102668762,1.2077394883387629,-0.24480407696092327,1045.0744207231662,6000,,1.2071647408161452,0.894703125
87,0.08700000000000006,0.001,0.004691098816692829,5367.9609375,87,2.2757999897003174,0.0023181812286376955,2.278118170928955,46.363624572753906,0.2103038728237152,1.2076813513313458,-0.24484225100024956,1044.8312674127653,6000,,1.207107061734374,0.89466015625
88,0.08800000000000006,0.001,0.004686705768108368,5367.703125,88,2.27558970451355,0.0023181854248046875,2.2779078899383545,46.36370849609375,0.21024009585380554,1.2076232034970389,-0.24488042746886712,1044.5647048433236,6000,,1.2070493622410814,0.8946171875
89,0.08900000000000007,0.001,0.0046823821030557156,5367.4453125,89,2.2753798961639404,0.0023181900024414064,2.277698086166382,46.363800048828125,0.21024858951568604,1.2075651767254583,-0.24491851978872656,1044.657101254683,6000,,1.2069917756785755,0.89457421875
90,0.09000000000000007,0.001,0.004678130149841309,5367.1865234375,90,2.2751693725585938,0.0023181945800781253,2.277487567138672,46.3638916015625,0.2101432979106903,1.2075069412989414,-0.24495674439574414,1044.1842976967134,6000,,1.206933971533259,0.8945310872395833
91,0.09100000000000007,0.001,0.004673960618674755,5366.9287109375,91,2.2749593257904053,0.0023181989669799805,2.2772775247573853,46.36397933959961,0.2100645899772644,1.207448826956325,-0.24499488484481988,1043.8434422440134,6000,,1.2068762787345544,0.8944881184895833
92,0.09200000000000007,0.001,0.0046698665246367455,5366.6708984375,92,2.274749279022217,0.002318203353881836,2.277067482376099,46.36406707763672,0.20998495817184448,1.207390701804621,-0.24503302771031663,1043.4979722371131,6000,,1.2068185660378536,0.8944451497395833
93,0.09300000000000007,0.001,0.004665847402065992,5366.4130859375,93,2.2745394706726074,0.002318208122253418,2.276857678794861,46.36416244506836,0.20990996062755585,1.2073326318368824,-0.24507112969131548,1043.1754518629589,6000,,1.2067608995899866,0.8944021809895834
94,0.09400000000000007,0.001,0.004661906976252794,5366.1552734375,94,2.274329423904419,0.0023182126998901368,2.276647636604309,46.364253997802734,0.2098589390516281,1.2072744850742292,-0.24510927738138455,1042.9721242989324,6000,,1.206703146749145,0.8943592122395834
95,0.09500000000000007,0.001,0.004658043850213289,5365.89697265625,95,2.2741196155548096,0.002318217468261719,2.2764378330230715,46.364349365234375,0.20988085865974426,1.207216393516713,-0.2451473841777965,1043.1312552756779,6000,,1.2066454398840805,0.894316162109375
96,0.09600000000000007,0.001,0.004654259886592627,5365.638671875,96,2.273909568786621,0.002318222045898438,2.2762277908325195,46.36444091796875,0.20983341336250305,1.207158225136386,-0.24518553668506077,1042.9457000409166,6000,,1.2065876465323029,0.8942731119791667
97,0.09700000000000007,0.001,0.004650559276342392,5365.38037109375,97,2.2736997604370117,0.0023182266235351563,2.276017987060547,46.364532470703125,0.2098817378282547,1.2071001119823745,-0.24522364828951165,1043.236111461744,6000,,1.206529898426209,0.8942300618489584
98,0.09800000000000007,0.001,0.004646930377930403,5365.1220703125,98,2.2734899520874023,0.002318231201171875,2.275808183288574,46.3646240234375,0.2099364697933197,1.2070419880337306,-0.24526176229385033,1043.5584107656728,6000,,1.2064721308668567,0.89418701171875
99,0.09900000000000007,0.001,0.004643379244953394,5364.86376953125,99,2.273279905319214,0.002318236351013184,2.275598141670227,46.36472702026367,0.20989665389060974,1.2069837872204232,-0.24529992201168804,1043.410803589913,6000,,1.2064142769370942,0.8941439615885417
100,0.10000000000000007,0.001,0.004639904480427504,5364.60546875,100,2.2730700969696045,0.002318241119384766,2.275388338088989,46.36482238769531,0.20983272790908813,1.2069256416652083,-0.24533804081298588,1043.143275767576,6000,2.280367431640625,1.2063564691278146,0.8941009114583334
101,0.10100000000000008,0.001,0.004636513534933329,5364.34716796875,101,2.272860288619995,0.0023182458877563476,2.2751785345077513,46.36491775512695,0.20988237857818604,1.2068674853103243,-0.2453761620086286,1043.440383303815,6000,,1.2062986403621727,0.894057861328125
102,0.10200000000000008,0.001,0.004633208736777306,5364.0888671875,102,2.2726504802703857,0.002318250846862793,2.2749687311172484,46.36501693725586,0.2098572701215744,1.206809318154094,-0.2454142855967665,1043.3658422984352,6000,,1.2062407903480155,0.8940148111979167
103,0.10300000000000008,0.001,0.004629990551620722,5363.830078125,103,2.2724406719207764,0.002318256378173828,2.27475892829895,46.36512756347656,0.20980492234230042,1.2067511401948388,-0.24545241157554848,1043.1558687821544,6000,,1.2061829190216051,0.8939716796875
104,0.10400000000000008,0.001,0.004626873414963484,5363.5712890625,104,2.272230863571167,0.00231826114654541,2.2745491247177125,46.3652229309082,0.20983438193798065,1.20669295143088,-0.2454905399431221,1043.3526524995207,6000,,1.206125024604436,0.8939285481770833
105,0.10500000000000008,0.001,0.004623838700354099,5363.31298828125,105,2.2720210552215576,0.0023182661056518556,2.2743393213272096,46.36532211303711,0.20977181196212769,1.20663475186054,-0.2455286706976336,1043.0918468343896,6000,,1.206067109375731,0.893885498046875
106,0.10600000000000008,0.001,0.0046208882704377174,5363.05419921875,106,2.2718112468719482,0.002318271064758301,2.2741295179367067,46.365421295166016,0.20969456434249878,1.20657654148214,-0.24556680383722776,1042.7580371399224,6000,,1.20600917310041,0.8938423665364583
107,0.10700000000000008,0.001,0.004618016071617603,5362.7958984375,107,2.271601438522339,0.0023182760238647463,2.273919714546204,46.36552047729492,0.20968671143054962,1.2065183202940015,-0.245604939360048,1042.7693035582931,6000,,1.205951216515385,0.89379931640625
